genre,music_id
Classical,5607912
Classical,5608204
Classical,5615868
Classical,5616440
Classical,5618276
Classical,5619709
Classical,5619808
Classical,5625485
Classical,5626667
Classical,5636285
Classical,5644351
Classical,5644401
Classical,5650521
Classical,5652916
Classical,5653788
Classical,5653854
Classical,5654326
Classical,5655850
Classical,5657703
Classical,5670772
Classical,5670777
Classical,5671499
Classical,5671877
Classical,5672702
Classical,5674977
Classical,5678811
Classical,5684364
Classical,5687387
Classical,5733014
Classical,5738940
Classical,5739597
Classical,5753705
Classical,5788661
Classical,5799378
Classical,5801576
Classical,5813667
Classical,5837604
Classical,5849868
Classical,5855110
Classical,5863192
Classical,5870660
Classical,5871238
Classical,5871807
Classical,5878699
Classical,5880912
Classical,5889290
Classical,5889760
Classical,5898928
Classical,5902660
Classical,5903275
Classical,5912674
Classical,5914051
Classical,5916802
Classical,5920093
Classical,5933450
Classical,5939854
Classical,5949862
Classical,5958295
Classical,5963930
Classical,5964065
Classical,5971218
Classical,5999678
Classical,6007087
Classical,6020624
Classical,6023534
Classical,6031912
Classical,6032437
Classical,6033252
Classical,6046205
Classical,6063362
Classical,6078161
Classical,6092548
Classical,6095109
Classical,6098854
Classical,6104468
Classical,6111199
Classical,6113626
Classical,6123819
Classical,6134810
Classical,6136169
Classical,6142311
Classical,6144002
Classical,6160895
Classical,6167724
Classical,6177451
Classical,6185476
Classical,6187402
Classical,6206415
Classical,6218956
Classical,6224057
Classical,6244267
Classical,6245314
Classical,6250966
Classical,6253695
Classical,6256214
Classical,6258104
Classical,6259956
Classical,6264867
Classical,6274321
Classical,6277044
Classical,6282670
Classical,6289291
Classical,6290166
Classical,6296866
Classical,6301753
Classical,6329238
Classical,6339200
Classical,6354563
Classical,6356239
Classical,6363066
Classical,6363642
Classical,6382131
Classical,6384400
Classical,6390452
Classical,6392827
Classical,6399446
Classical,6408812
Classical,6414242
Classical,6420336
Classical,6448109
Classical,6451997
Classical,6460972
Classical,6462313
Classical,6490908
Classical,6536604
Classical,6547086
Classical,6555384
Classical,6557478
Classical,6601793
Classical,6605114
Classical,6612194
Classical,6627083
Classical,6630648
Classical,6643957
Classical,6670038
Classical,6672277
Classical,6676854
Classical,6687994
Classical,6771810
Classical,6921043
Classical,6941332
Classical,6960508
Classical,6995442
Classical,7076695
Classical,7347764
Classical,7388483
Classical,7515920
Classical,7564499
Classical,7677896
Classical,7706795
Classical,7835876
Classical,7846796
Classical,8192093
Classical,8910036
Classical,8988956
Classical,9148968
Comedy,5155506
Comedy,6500880
Comedy,6674915
Comedy,6804809
Country,511771
Country,1167181
Country,1634656
Country,2381696
Country,3770341
Country,5668993
Country,5672425
Country,6573123
Country,6910214
Country,7307108
Country,7784966
Disco,5015236
Disco,5099491
Disco,6300850
Disco,6351272
Disco,6851587
Electronic,138074
Electronic,449086
Electronic,470396
Electronic,520051
Electronic,1137111
Electronic,1217746
Electronic,1218841
Electronic,1304631
Electronic,1461066
Electronic,1605161
Electronic,1755641
Electronic,1871671
Electronic,1871836
Electronic,2284946
Electronic,2369091
Electronic,2435486
Electronic,3665556
Electronic,3676146
Electronic,4354306
Electronic,4609496
Electronic,4679936
Electronic,4798318
Electronic,4835922
Electronic,4845387
Electronic,4864386
Electronic,5025093
Electronic,5062773
Electronic,5094199
Electronic,5121540
Electronic,5141151
Electronic,5144174
Electronic,5242767
Electronic,5289334
Electronic,5290807
Electronic,5345775
Electronic,5432871
Electronic,5543679
Electronic,5636120
Electronic,5648851
Electronic,5754250
Electronic,5971218
Electronic,6073049
Electronic,6086163
Electronic,6089373
Electronic,6097884
Electronic,6098495
Electronic,6174631
Electronic,6283390
Electronic,6318202
Electronic,6362049
Electronic,6519100
Electronic,6624747
Electronic,6810218
